make,model,CubicCapacity,SeatingCapacity,CarringCapacity,MakeCode,ModelCode,GVW
CATERPILLAR (I) LTD.,933-1 HSM,2000,2,2,300,10463,1
CATERPILLAR (I) LTD.,CAT D5G TRACK DOZER,1,4,4,300,10527,0
CASAGRANDE,B180 HD,1,1,1,,14474,1
CASAGRANDE,B170,1,1,1,,14481,1
DYNAPAC,CP 201 ROAD ROLLER,2000,1,1,,13448,0
DHIMAN AGRICULTURAL WORKS,DHIMAN 999 HARVESTOR,2000,1,1,,13633,0
DEMAG,TC 180,3598,2,2,302,13755,1
DEMAG,AC 335 CRANE,5883,3,3,302,13922,0
DEMAG,HC 320 CRANE,3518,1,1,302,14056,1
DOOSAN,S 250,1,2,2,,14358,1
DOOSAN,S 340 LC-7,1,1,1,,14490,1
DHIMAN AGRICULTURAL WORKS,DHIMAN 930,1,3,3,,14544,1
CATERPILLAR (I) LTD.,CAT 140G MOTOR GRADER,2000,2,2,300,6682,1
CATERPILLAR (I) LTD.,CAT 120G MOTOR GRADER,2000,2,2,300,6683,1
CATERPILLAR (I) LTD.,MOTOR GRADER 120 H,2000,2,2,300,6684,1
CLARK,LECO 1800E ULV,1800,2,2,257,7470,1
CLARK,120 E,2000,4,4,257,7471,1
CATERPILLAR (I) LTD.,CAT 424 BACKHOE,2000,4,4,300,7473,7600
UNIPAVE ENGINEERING,UWM 05 PAVER,2000,1,1,354,13683,0
DOOSAN DAEWOO,S 130 BACK HOE LOADER,1,1,1,419,15605,1
DAEWOO,786 TELESCOPIC TRUCK CRANE,1,2,2,217,15677,1
DCM TOYOTA,DYNA 600 GENERATOR VAN,1,3,3,,15687,5950
DYNAPAC,CA 250 ROAD ROLLERS,1,1,1,,15719,1
DEMAG,DEMAG 350/6,1,3,3,302,15768,1
DOOSAN,DX 210,1,1,1,,15791,1
DOOSAN DAEWOO,D30 S,1,1,1,419,15835,1
DOOSAN,DX 225,1,3,3,,15843,1
CATERPILLAR (I) LTD.,CAT D6G,1,1,1,300,14489,1
CATERPILLAR (I) LTD.,CS 533,1,1,1,300,14512,1
CHANGLIN,ZL 50H,1,1,1,,15133,1
UNIPAVE ENGINEERING,UAP 05 PAVER,2000,2,2,354,8911,1
308,10252,UWM  150,2000,1,SURFACING AND PREMIX LAYING EQMT,UNIVERSAL CONSTRUCTION MACHINERY & EQUIPMENT PVT. LTD,ROAD SCRAPPING
UNISTEEL ENGINEERING WORKS,RCP 750 CONCRETE PAVER FINISHER MACHINE,2000,2,2,,10023,1
UNIVERSAL CONSTRUCTION MACHINERY & EQUIPMENT PVT. LTD,PF 45,1,1,1,308,14256,1
UNIVERSAL INDUSTRIAL,PF 45 PAVER,1,1,1,,14268,1
CHEVROLET,TAVERA AMBULANCE,1,5,5,,15625,1
CATERPILLAR (I) LTD.,MOTOR GRADER 112H,1,2,2,300,15720,1
CATERPILLAR (I) LTD.,MOTOR GRADER 12H,1,1,1,300,15721,1
CATERPILLAR (I) LTD.,CB24 VIBRATORY COMPACTOR,1,1,1,300,15723,1
CATERPILLAR (I) LTD.,CAT 345 CL,1,1,1,300,11011,0
CATERPILLAR (I) LTD.,DOZER-D6H,1,2,2,300,11078,0
UNIPAVE ENGINEERING,UWM 04,1,1,1,354,11752,0
UNIPAVE ENGINEERING,ESP-05 PAVER,2000,2,2,354,7728,1
UNIVERSAL INDUSTRIAL,U445,1,1,1,,17325,1
CASE IH,SUGAR CANE HARVESTER 4000,1,1,1,,15749,1
CATERPILLAR (I) LTD.,MOTOR GRADER 12K,2000,1,1,300,15892,1
CLAAS INDIA LIMITED,CROP TIGER HARVESTOR,2000,2,2,361,7690,1
CHOWGULE AND COMPANY PVT LTD,UNIC UR-V506 CRANES,2000,2,2,415,8048,1
CATERPILLAR (I) LTD.,HM2021Z LOADER,2000,2,2,300,8081,20200
COLES,54/60 T,2000,2,2,433,8635,1
DYNAPAC,CA 250 STD,1,2,2,,15874,1
DOOSAN,S 150,1,1,1,,15888,1
DEMAG,AC 120,1,2,2,302,15954,1
DEMAG,TC 140,1,2,2,302,15957,1
DEMAG,TC 2500,1,2,2,302,16045,1
DEMAG,AC 100,1,2,2,302,16135,1
CHANNY AGRO INDUSTRIES,CHANNY 930,2000,2,2,443,8649,1
BALIYA ROAD EQUIPMENENT,EARTH MOVER PAVER,1,1,1,,15902,1
BEML,PC 650,1,1,1,299,16055,1
COLES,8130 CRANE,1,2,2,433,16459,72000
CNH CONSTRUCTION EQUIPMENT INDIA (P) LTD,1107 D VIBRATORY SOIL COMPACTOR,2000,3,3,,16512,1
CATERPILLAR (I) LTD.,CB 224 E VIBRATOR COMPACTOR,1,2,2,300,11232,0
CATERPILLAR (I) LTD.,594H,5850,1,1,300,11512,1
CIMMCO BIRLA LTD,MINIDOZAR,1,2,2,,11561,1
CATERPILLAR (I) LTD.,950 G,5853,1,1,300,11579,1
CLUB CAR,DS ELECTRIC GOLF CAR,1,2,2,,11673,1
CATERPILLAR (I) LTD.,CAT 320 DL,5853,1,1,300,11707,1
CNH CONSTRUCTION EQUIPMENT INDIA (P) LTD,CASE 851,2000,2,2,,16636,1
CATERPILLAR (I) LTD.,D5K,1,1,1,300,16639,1
CATERPILLAR (I) LTD.,CAT 140H MOTOR GRADER,2000,2,2,300,16695,1
CNH CONSTRUCTION EQUIPMENT INDIA (P) LTD,752 COMPACTOR,2000,1,1,,16738,1
DEMAG,AC 435,1,2,2,302,16277,1
DEMAG,AC 160,1,3,3,302,16539,1
DEMAG,AC 400,1,2,2,302,16602,1
DEMAG,DF 130 PAVER,1,2,2,302,16683,1
DEMAG,AC 265,1,2,2,302,16719,1
DOOSAN,M 250,1,1,1,,17069,1
DASMESH MECHANICAL WORKS,7100 HARVESTOR,1,1,1,,17102,1
DEMAG,DEMAG HC-190 CRANE,2000,2,2,302,4970,1
COLES,HYDRA TRUCK 45/50T,2000,2,2,433,8517,1
ZETOR,ZETOR TRACTOR,2000,1,1,,10394,1
XCMG,QY 50 B CRANE,1,3,3,375,10668,0
XCMG,ZL 5001,1,2,2,375,11699,0
XUZHOU CONSTRUCTION MACHINERY GROUP IMP.& EXP. CO,QY65K TRUCK CRANE,5853,2,2,372,11812,1
XCMG,QY 65 K,1,2,2,375,11821,1
YANMAR,VIO75,1,1,1,,12177,1
YANMAR,SV 100 EXCAVATOR,1,1,1,,12526,1
ZOOMLION HEAVY INDUSTRY CO LTD,QUY 70 CRAWLER CRANE,2000,1,1,,12954,1
XCMG,QY 70K MOBILE CRANE,2000,2,2,375,13265,1
CATERPILLAR (I) LTD.,950H,2000,2,2,300,8665,1
DEMAG,HC 340 SL,2000,2,2,302,6615,1
DEMAG,HC510,2000,2,2,302,6625,1
DAEWOO,SOLAR EX 500,2000,2,2,217,6712,1
DAEWOO,SOLAR340LC-V,2000,2,2,217,6714,1
DAEWOO,SOLAR 300 LC-V,2000,2,2,217,6715,1
VOLVO INDIA,L220E WHEEL LOADER,2000,2,2,356,14578,1
VOLKSWAGEN,TRANSPORTER T5,1,2,2,,14581,1
DEMAG,TC 280,1,4,4,302,10434,1
DAEWOO,SOLAR 55,1,2,2,217,10583,1
CAPTAIN AGRO TECH,CAPTAIN DI 2600,1,1,1,,15905,1
CROWN,ESR 4500,1,1,1,,16129,1
CARGOTEC MFG (I) PVT LTD,REACH STACKER CS180-5,1,1,1,,16140,1
CATERPILLAR (I) LTD.,120K MOTOR GRADER,1,1,1,300,16155,1
CNH CONSTRUCTION EQUIPMENT INDIA (P) LTD,CASE 770,1,1,1,,16254,1
CARGOTEC MFG (I) PVT LTD,REACH STACKER CS 380-5,1,1,1,,16385,1
CARGOTEC MFG (I) PVT LTD,REACH STACKER CS 350-5,1,1,1,,16386,1
CNH CONSTRUCTION EQUIPMENT INDIA (P) LTD,450 VIBRATORY COMPACTOR,2000,1,1,,16928,1
COLES,LH 300,1,1,1,433,12171,1
CONMAT SYSTEMS,CE-200,1,1,1,,12219,1
COLES,80/88 T CRANE,1,1,1,433,12450,1
CHEVROLET,TAVERA B3 AMBULANCE,2499,5,5,,12503,1
CATERPILLAR (I) LTD.,962 H BACK HOE LOADER,1,2,2,300,12524,1
CATERPILLAR (I) LTD.,CATERPILLAR 325 DL EXCAVATOR,1,2,2,300,12722,1
CHANGLIN,PY165H MOTOR GRADER,2000,1,1,,12763,1
COLES,LH 1400 CRANE,2000,1,1,433,12917,1
VOLVO INDIA,L120F,1,2,2,356,15515,1
VOLVO INDIA,L90F WHEEL LOADER,1,2,2,356,15561,1
VOLVO INDIA,FM 12 460 CONCRETE PUMP,1,2,2,356,15584,1
VISHAL COMBINE,DOLPHIN 248,1,1,1,287,15832,1
VOLVO INDIA,FM 340,5678,2,2,356,15895,1
WHITE WAGON PVT LTD,VAIBHAV TRACTOR,1,1,1,,15922,1
VOLTAS LIMITED,VLPC 12,1,2,2,355,16189,1
VOLTAS LIMITED,VLPC 14,1,2,2,355,16190,1
BOBCAT,SKID STEER LOADER S-130SKID STEER LOADER S-130,2000,2,2,325,5478,1
BFLC,MOTORISED BAGGAGE LOADER,2000,2,2,229,5865,1
ZOOMLION HEAVY INDUSTRY CO LTD,QY 16H,1,2,2,,16260,1
XCMG,QUY 100,1,1,1,375,16329,1
XCMG,GR 135,1,1,1,375,16446,1
XCMG,QY 75K,2000,1,1,375,16958,1
BAJAJ TEMPO LTD,TEMPO TRAVELLER AMBULANCE,2650,10,10,276,7423,1
BARNES SIFANG AGRO ENG. PVT. LTD,GANGA SIFANG POWER TILLER,2000,1,1,403,7584,1
BEML,BP 41 PIPE LAYERS PAVER,2000,2,2,299,7894,1
ACTION CONSTRUCTION EQUIPMENT,DI 450 TRACTOR,1,1,1,294,12506,1
HINDUSTAN MOTORS,HM-PUSHPAK,1,5,5,319,17425,1
HMT,HMT 3522,2000,1,1,318,5848,1
HMT,HMT 5022,1,1,1,318,15530,1
HMT,HMT 4922,2000,1,1,318,7195,1
HMT,HMT 6610,2000,1,1,318,4857,1
HMT,4511 DX,2000,1,1,318,7194,1
BYCURUS,60 X,1,2,2,,11315,1
BYCURUS,25 B,1,2,2,,11361,1
BEDFORD,BEDFORD T J,1,1,1,263,11507,1
BHAVANI ENGINEERS,BE 475,2000,2,2,,11897,1
BYCURUS,RB 19,1,2,2,,12007,1
BAJAJ TEMPO LTD,TEMPO TRAX,2399,4,4,276,17278,2750
VISHAL COMBINE,VISHAL 368,2000,3,3,287,11901,1
VOLVO INDIA,DD 24 VIBRATORY COMPACTOR,2000,1,1,356,11906,1
VERMEER,D24X24,1,1,1,,12167,1
VOLVO INDIA,G 930 GRADER,1,1,1,356,12186,1
VOLVO INDIA,L 120 E WHEEL LOADERS,1,2,2,356,12427,1
VOLVO INDIA,TITAN 7820 SENSOR PAVER,1,2,2,356,12565,1
HYUNDAI CONSTRUCTION CO.,R305LC-7 EXCAVATORS,2000,1,1,303,12891,1
HYUNDAI CONSTRUCTION CO.,ROBEX 280 LC EXCAVATOR,2000,2,2,303,4860,1
HYUNDAI CONSTRUCTION CO.,HDF50 7 FORK LIFT TRUCK,2000,1,1,303,12862,1
HYUNDAI CONSTRUCTION CO.,HDF70 7 FORK LIFT TRUCK,2000,1,1,303,12863,1
BOBCAT,S 650 SKID STEER LOADER,1,1,1,325,17409,1
BAJAJ TEMPO LTD,MATADOR F 307 AMBULANCE,2399,5,5,276,13983,2400
BAJAJ TEMPO LTD,TEMPO TRAX 8STR,2000,8,8,276,14228,1
BAJAJ TEMPO LTD,OX 45,2000,1,1,276,14247,1
VOLTAS LIMITED,DV 1512 FORKLIFT TRUCK,2000,2,2,355,6927,1
VOLTAS LIMITED,LVX 20 FORKLIFT TRUCK,2000,2,2,355,6929,1
VOLTAS LIMITED,LVX 25 FORKLIFT TRUCK,2000,2,2,355,6930,1
VOLTAS LIMITED,EVX 10 FORKLIFT TRUCK,2000,2,2,355,6931,1
VOLTAS LIMITED,EVX 15 FORKLIFT TRUCK,2000,2,2,355,6933,1
VOLTAS LIMITED,EVX 25 FORKLIFT TRUCK,2000,2,2,355,6934,1
VOLTAS LIMITED,DVX 405 FORKLIFT,2000,2,2,355,6935,1
VOLTAS LIMITED,DVX 40 FORKLIFT TRUCK,2000,2,2,355,6936,1
VOLTAS LIMITED,DV 80 FORKLIFT TRUCK,2000,2,2,355,6937,1
VOLTAS LIMITED,DV 1006 FORKLIFT TRUCK,2000,2,2,355,6938,1
VOLTAS LIMITED,DV 1206 FORKLIFT TRUCK,2000,2,2,355,6940,1
VOLTAS LIMITED,LVX 30 FORKLIFT TRUCK,2000,2,2,355,6941,1
VOLTAS LIMITED,EVX 30 FORKLIFT TRUCK,2000,2,2,355,6942,1
VOLTAS LIMITED,DVX 15 FORKLIFT TRUCK,2000,2,2,355,6943,1
VOLTAS LIMITED,DV 1609 FORKLIFT TRUCK,2000,2,2,355,6944,1
VOLTAS LIMITED,EVX 20 FORKLIFT TRUCK,2000,2,2,355,6945,1
HARIG INDIA PVT LTD,PANTHER 350,2000,1,1,,16309,1
HAULOTTE GROUP,HA16PX,1,1,1,,16932,1
BEML,BEML 220 EXCAVATOR,2000,2,2,299,6304,1
BEML,BEML BL 200,2000,2,2,299,6307,1
BEML,BEML BD155,2000,2,2,299,6557,1
VOLTAS LIMITED,VL 8 CRANES,2000,1,1,355,7376,1
358,7464,2200 SURFACE MINER,2000,2,SURFACING AND PREMIX LAYING EQMT,WIRTGEN,ROAD SCRAPPING
VOLVO INDIA,L120E WHEEL LOADER,2000,2,2,356,7866,1
VOLVO INDIA,L90E WHEEL LOADER,2000,2,2,356,7867,1
VAISHNOVI ENGINEERS,HITACHI EX60 EXCAVATORS,2000,1,1,412,7900,1
VISHVAKARMA ROAD EQUIPMENT COMPANY (P) LTD,VIS-VP-40-S PAVER,2000,2,2,418,8055,1
VOLVO INDIA,GRADER G 720,2000,2,2,356,8218,1
VAISHNOVI ENGINEERS,HITACHI EX 120 EXCAVATOR,2000,2,2,412,8247,1
XUZHOU CONSTRUCTION MACHINERY GROUP IMP.& EXP. CO,TRUCK CRANE QY20B,2000,2,2,372,5286,1
XCMG,LW321F,2000,1,1,375,7559,1
XCMG,ZL 50 G,2000,1,1,375,8716,1
WALTER WRIGHT CRANES AUSTRALIA,CRANE AMERICAN 7530,2000,2,2,400,8605,1
358,8779,SM 2100 C SUFACE MINER,2000,2,SURFACING AND PREMIX LAYING EQMT,WIRTGEN,ROAD SCRAPPING
WILLSON,8-10 TON ROAD ROLLER,2000,2,2,,9224,1
VARINDRA HARVESTER,VARINDRA 510,2000,2,2,,9237,1
HALTA KOREA,TRUCK CRANE,1,2,2,,10686,1
HDR LTD,IRON BODY ROAD ROLLER,5853,1,1,,11691,1
BEML,BG 825,1,2,2,299,12359,1
BYCURUS,ERIE 45 C,1,1,1,,12360,1
VEER,PARTAP TRACTOR,2000,1,1,,12993,1
VOLVO INDIA,BM 3500 MOTOR GRADER,2000,1,1,356,13174,1
VISHAL COMBINE,VISHAL 408 COMBINE HARVESTOR,2000,2,2,287,13203,1
VERMEER,D24X40,2000,1,1,,13278,0
VOLVO INDIA,DD 90 VIBRATORY COMPACTOR,2000,2,2,356,13332,0
VOLVO INDIA,L220F WHEEL LOADER,2000,2,2,356,13348,0
VOLVO INDIA,ABG 4361 PAVER FINISHER,2000,2,2,356,13410,0
VOLTAS LIMITED,FD 30 T3Z FORK LIFT,2000,2,2,355,13419,3000
VISHVAKARMA ROAD EQUIPMENT COMPANY (P) LTD,VIS 4X PAVER,2000,1,1,418,13472,8700
VIVEK ENGINEERING WORKS,BEST BOSS,2000,1,1,,13681,0
VOLTAS LIMITED,LVX 15 FORKLIFT TRUCK,2000,2,2,355,6928,1
HERCULES CRANES PVT LTD,H-110,1,2,2,,15940,1
HAKO WERKE,CITY MASTER 1200 ROAD SWEEPING MACHINE,1,1,1,,12749,2500
BEML,BEML BD31A-17,2000,2,2,299,6558,1
BEML,BEML BD355,2000,2,2,299,6559,1
BEML,BEML BD475,2000,2,2,299,6560,1
BEML,BEML BD50,2000,2,2,299,6561,1
BEML,BEML BD65,2000,2,2,299,6562,1
BEML,BEML BD80,2000,2,2,299,6563,1
BEML,BH-40,2000,2,2,299,6678,1
BEML,BH-35,2000,2,2,299,6679,1
BEML,BEML BG605 MOTOR GRADER,2000,2,2,299,6680,1
BRITIANNIA,3WD ROAD ROLLER,2000,2,2,253,6745,1
BAJAJ TEMPO LTD,OX 25,2000,1,1,276,7187,1
HERCULES CRANES PVT LTD,H-120,1,1,1,,14355,1
VOLTAS LIMITED,M9188,2000,2,2,355,10135,1
VOLTAS LIMITED,VLRT 40 CRANES,6,2,2,355,10266,0
VST TILLERS TRACTOR LTD,M 17 VWH 120 POWER TILLER,2000,1,1,357,10536,1
VOLVO INDIA,3/11 REFULLER,1,2,2,356,10537,0
VISHVAKARMA ROAD EQUIPMENT COMPANY (P) LTD,VIS-VP-200-S,1,1,1,418,10546,1
VOLVO INDIA,SD 110,1,2,2,356,10577,1
BRITIANNIA,ROAD MASTER 8-10,2000,2,2,253,8893,1
BEML,BEML 636,2000,2,2,299,9174,1
BEML,BL 9H,2000,2,2,299,9241,1
BARNES SIFANG AGRO ENG. PVT. LTD,SOHARR SIFANG POWER TILLERS,1000,1,1,403,9251,0
XCMG,QAY 160,2000,2,2,375,10244,1
XCMG,QY 25 K,2000,2,2,375,10248,1
BHARAT,730 DLX,5850,1,1,,10018,0
BAJAJ TEMPO LTD,BAJAJ TEMPO 700 WB,2000,2,2,276,10189,1
BEML,BEML 656,2000,2,2,299,10201,1
BAJAJ TEMPO LTD,TEMPO TRAVELLER 5STR,2000,5,5,276,10487,3490
BAJAJ TEMPO LTD,TEMPO TRAVELLER 6STR,2000,6,6,276,10488,3490
BEML,BE 71,1,2,2,299,10665,0
BYELAURUS,BYELAURUS TRACTOR,1697,1,1,,13300,3410
BYCURUS,RB 22 CRANE,2000,1,1,,13355,0
358,14015,W 100,2000,2,SURFACING AND PREMIX LAYING EQMT,WIRTGEN,ROAD SCRAPPING
VOGELE,SUPER 1800,1,1,1,369,14237,1
VST TILLERS TRACTOR LTD,TILLER CT85,1,1,1,357,14291,1
VOLVO INDIA,PT220RH COMPACTOR,1,1,1,356,14306,1
BAJAJ TEMPO LTD,TRAX CRUISER,1,7,7,276,16264,1
BOBCAT,S 205,1,1,1,325,16588,1
BULL CONSTRUCTION EQUIPMENT,BULL SMART,1,1,1,,16626,1
BOBCAT,SKID STEER LOADER S-250,2000,2,2,325,4678,1
BAJAJ TEMPO LTD,BALWAN 300,2000,1,1,276,7189,1
BAJAJ TEMPO LTD,BALWAN 450,2000,1,1,276,7190,1
BAJAJ TEMPO LTD,BALWAN 400,2000,1,1,276,7191,1
BAJAJ TEMPO LTD,BALWAN 500,2000,1,1,276,7192,1
BOBCAT,753 C WHEEL LOADER,2000,2,2,325,7368,1
VAISHNOVI ENGINEERS,HITACHI EX 150,1,2,2,412,10582,1
ZOOMLION HEAVY INDUSTRY CO LTD,ZD 220,1,1,1,,14281,1
ZOOMLION HEAVY INDUSTRY CO LTD,QY 50,1,1,1,,14388,1
XCMG,LW300F,1,2,2,375,14399,1
ZECK GMBH,SPW 16/8,1,2,2,,14401,1
XCMG,QAY 25 K,1,2,2,375,14522,2
XCMG,QY 20 B CRANE,1,2,2,375,14523,1
XCMG,QY 50 K,1,1,1,375,14524,1
XCMG,QY 60K,1,2,2,375,15952,1
ZECK GMBH,B 1500/8X2,1,2,2,,16070,1
ZOOMLION HEAVY INDUSTRY CO LTD,QY 60H,1,1,1,,16249,1
VOLVO INDIA,DD 80 VIBRATORY COMPACTOR,4000,1,1,356,10900,1
VOLTAS LIMITED,DVX 806,1,2,2,355,11126,1
VOLTAS LIMITED,G 800,1,2,2,355,11127,1
VST TILLERS TRACTOR LTD,VST 130 DI,1,1,1,357,11399,1
VOLVO INDIA,42 M 6X4,1,2,2,356,11402,1
VISHAL COMBINE,VISHAL 435,1,2,2,287,11524,1
VOLMAC ENGINEERING PVT LTD,FORKLIFT TRUCK,2000,1,1,,11840,1
HINDUSTAN MOTORS,TRACTOR 810,1,1,1,319,10914,1
ACTION CONSTRUCTION EQUIPMENT,550 DI,1,1,1,294,16011,1
BAJAJ TEMPO LTD,OX 35 TRACTOR,2000,1,1,276,13606,0
BAUER E. S. A. P. LTD,BG 25 C DRILLING RIG,2000,2,2,,13772,0
BEML,BE 300 EXCAVATOR,2000,2,2,299,13949,0
HYUNDAI CONSTRUCTION CO.,ROBEX 210 LC EXCAVATOR,2000,2,2,303,4861,1
HYUNDAI CONSTRUCTION CO.,R 320 LC-7 EXCAVATOR,1,1,1,303,12640,1
BMC,1236 MOBILE CRANE,1,1,1,,16682,1
BAJAJ,GC MAX GARBAGE VAN,1,1,1,381,16754,1
B.S.M.S,HARDEV 950,1,1,1,,16914,1
INDO FARM TRACTORS & MOTORS,2042 DI,1,1,1,320,17293,1
IASA,G-40-34,1,1,1,,16964,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 732 III,2000,1,1,324,6371,1
INDO FARM TRACTORS & MOTORS,3048 DI,1,1,1,320,16929,1
HYUNDAI CONSTRUCTION CO.,R220 LC,5886,1,1,303,14059,1
HYUNDAI CONSTRUCTION CO.,18L 7 FORK LIFT TRUCK,2000,1,1,303,12856,1
HYUNDAI CONSTRUCTION CO.,35D 7 FORK LIFT TRUCK,2000,1,1,303,12859,1
HYUNDAI CONSTRUCTION CO.,30D 7 FORK LIFT TRUCK,2000,1,1,303,12857,1
HIMALAYA ENGINEERING COMPANY,PAVER FINISHER,2000,1,1,273,8988,1
HYUNDAI CONSTRUCTION CO.,HL 760- 7,1,3,3,303,10759,1
HYSTER,RS45-27 CH,1,1,1,,16954,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 734,1,1,1,324,17200,1
HINDUSTAN MOTORS,101 CRANE,2000,2,2,319,10464,1
HMT,6522 LOADER,1,1,1,318,10629,0
HMT,HMT-5911,1,1,1,318,12238,1
HINDUSTAN MOTORS,HM 2021 LOADER,2000,2,2,319,5277,1
HITACHI,ZX 330 LC,2000,2,2,225,6703,1
HINDUSTAN MOTORS,TEREX,2000,2,2,319,9285,1
HYUNDAI CONSTRUCTION CO.,R 210-7H,1,1,1,303,15969,1
HITACHI,EX 120,1,1,1,225,15633,1
HINDUSTAN MOTORS,2021 Z WHEEL LOADER,2000,2,2,319,7341,20200
HMT,HMT 7511,2000,1,1,318,4858,1
HMT,HMT 3511,2000,1,1,318,10477,1
HMT,HMT 2522 ORCHARD,2000,1,1,318,4918,1
HIRA AGRO INDUSTRIES,785 COMBINE HARVESTOR,2000,2,2,449,13527,0
HMT,5911 WITH BACK HOE LODER,1,1,1,318,14150,1
HIRA AGRO INDUSTRIES,551 HARVESTING COMBINE,1,3,3,449,16661,1
HINDUSTAN MOTORS,50 HK,1,6,6,319,10578,1
HINDUSTAN MOTORS,WINNER CASH VAN,1,3,3,319,16029,1
HINDUSTAN MOTORS,G 312 TRACTOR,2000,1,1,319,13797,0
HMT,CAPTAIN DI 2600,2000,1,1,318,6361,1
HMT,HMT 5911,2000,1,1,318,5108,1
HMT,HMT 6522,2000,1,1,318,5266,1
HMT,HMT 4022,2000,1,1,318,4859,1
HYUNDAI CONSTRUCTION CO.,HYUNDAI 290 LC EXCAVATOR,2000,2,2,303,5295,1
HYUNDAI CONSTRUCTION CO.,TELESCOPIC TRUCK CRANE,2000,2,2,303,5742,1
HYUNDAI CONSTRUCTION CO.,R 140 LC-7,1,1,1,303,16068,1
HIRA AGRO INDUSTRIES,985 HARVESTING COMBINE,2000,3,3,449,8869,1
HINDUSTAN MOTORS,2021 BACKHOE,1,1,1,319,12231,1
HMT,HMT 2522 EDI,2000,1,1,318,4917,1
HMT,HMT-3022,2000,1,1,318,7058,1
HITACHI,EX-60-2,2000,2,2,225,9060,1
HIAB,HIAB 122 B 1 CLX CRANE,2000,1,1,,12998,1
INDITAL,FLT 16 FORKLIFT,2000,2,2,322,6907,1
INGERSOLL RAND,DD 90 COMPACTOR,2000,2,2,323,8389,8000
HIND AGRO INDUSTRY,HIND 999,2000,2,2,,9013,1
HINDUSTAN MOTORS,6312 TRACTOR,2000,1,1,319,13784,0
HMT,4511 COASTAL,2000,1,1,318,6462,1
HMT,HMT 3522 COASTAL,2000,1,1,318,4854,1
HMT,HMT 4511,2000,1,1,318,4919,1
HMT,ZETOR 2511,2000,1,1,318,10478,1
HMT,3522 DX,2000,1,1,318,6457,1
HYUNDAI CONSTRUCTION CO.,R 110 7,1,2,2,303,11294,1
HYUNDAI CONSTRUCTION CO.,SH 917,2000,1,1,303,10788,1
HINDUSTAN MOTORS,HM 2071-1,2000,3,3,319,10240,1
HINDUSTAN MOTORS,RTV AMBULANCE,1,9,9,319,10890,1
INDO FARM TRACTORS & MOTORS,INDO FARM 2030 DI,2000,1,1,320,4864,1
MAHINDRA & MAHINDRA,475 DI BHOOMIPUTRA,2000,1,1,331,6387,1
MAHINDRA & MAHINDRA,595 DI NST,2000,1,1,331,6582,1
MAHINDRA & MAHINDRA,7520 TRACTORS,1,1,1,331,16478,1
MAHINDRA & MAHINDRA,245 DI,2000,1,1,331,6578,1810
MAHINDRA & MAHINDRA,ARJUN 605 DI,2000,1,1,331,6396,1
INGERSOLL RAND,IDD 24,2000,2,2,323,6777,1
MAHINDRA & MAHINDRA,575 DI NBP,2000,1,1,331,7020,1
MAHINDRA & MAHINDRA,BOLERO CAMPER DRILLING CLEARING MACHINE,2000,5,5,331,16429,1
MAHINDRA & MAHINDRA,BOLERO XL AMBULANCE,2000,6,5,331,12460,1
GREAVES COTTON LTD.,BOMAG BW 120 AD-3,2000,2,2,317,6757,1
GROVE,AT 1100 CRANE,2000,1,1,374,13433,0
HYUNDAI CONSTRUCTION CO.,R 170W-7,1,3,3,303,11902,0
INTERNATIONALTRACTORS LTD.,SONALIKA DI 55,2000,1,1,324,6366,1
INTERNATIONALTRACTORS LTD.,12 T CRANE,1,1,1,324,16299,1
INDO FARM EQUIPEMENT LIMITED,INDO POWER 9,1,1,1,,15880,1
GROVE,TM 1400,5853,1,1,374,12018,1
GURU NAANK AGRI ENGG INDUSTRIES,GURU NANAK 985,1,2,2,267,10907,1
INDUS,ALLIGATOR CRAWLER DRILL,1,1,1,279,16000,1
INDO FARM EQUIPEMENT LIMITED,POWER 12,1,2,2,,15801,1
INDO FARM EQUIPEMENT LIMITED,INDO POWER 20,1,1,1,,16218,1
MAHINDRA & MAHINDRA,595 DI TURBO TRACTOR WITH COMPRESSOR,2000,1,1,331,7925,2450
INGERSOLL RAND,IR SD 50,2000,2,2,323,6769,1
INGERSOLL RAND,IR DD 80,2000,2,2,323,6771,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 740,2000,1,1,324,6372,1
INTERNATIONALTRACTORS LTD.,SONALIKA STANDARD 335 DI,2000,1,1,324,5853,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 35,2000,1,1,324,6365,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 745 III,200,1,1,324,6374,1
INTERNATIONALTRACTORS LTD.,SONALIKA DI 60 SENIOR,2000,1,1,324,6368,1
INDO FARM EQUIPEMENT LIMITED,POWER 16,2000,1,1,,17364,1
INDO FARM TRACTORS & MOTORS,INDO FARM 2050 DI,2000,1,1,320,4867,1
INDO FARM TRACTORS & MOTORS,3035 DI-SC,2000,1,1,320,8811,1
INGERSOLL RAND,TITAN PAVER 4360,2000,1,1,323,7750,1
INGERSOLL RAND,PNEUMATIC TYRE ROLLER RTR 220,2000,2,2,323,6772,1
INTERNATIONAL TRUCKS & ENGINE CORPORATION USA,PAYSTAR 5900,1,2,2,,15890,1
INDO FARM INDUSTRIES LTD,INDO POWER 16 CRANE,2000,1,1,,16461,1
