make,model,CubicCapacity,SeatingCapacity,CarringCapacity,MakeCode,ModelCode,GVW
AJAX FIORI ENGINEERING,ARGO 2000.,2000,2,2,218,15788,1
AMERICAN HOIST,9310 CRAWLER CRANE,1,1,1,,15824,1
ASHOK LEYLAND LTD.,1613 GARBAGE VAN,1,3,3,362,15838,1
ASHOK LEYLAND LTD.,1612 BORING MACHINE,1,2,2,362,15875,1
A.B.EXCAVATOR  (P) LTD,AB-10 EXCAVATOR LOADER,1,1,1,,15877,1
ASHOK LEYLAND LTD.,912 RECOVERY VAN,1,1,1,362,15885,1
ACTION CONSTRUCTION EQUIPMENT,AF 100 D,1,1,1,294,15936,1
ACTION CONSTRUCTION EQUIPMENT,ACE 14XW CRANE,2000,2,2,294,5298,1
ACTION CONSTRUCTION EQUIPMENT,FTC 5023 A,2000,2,2,294,8346,1
APOLLO CONSTRUCTON EQUIPMENTS PVT LTD,WM 6 HES WET MIX PAVER,2000,2,2,432,8440,1
EICHER MOTORS,20.16 WITH RIG,1,2,2,304,16106,1
EICHER MOTORS,TERRA 16 GARBAGE VAN,1,2,2,304,15786,1
EICHER MOTORS,10.90 CINEMA FILM RECORDING AND PUBLICITY VANS,1,2,2,304,15767,1
EICHER MOTORS,10.50 GENRATOR VAN,1,3,3,304,15834,1
ASHOK LEYLAND LTD.,1616 GENERATOR VAN,1,3,3,362,15943,16200
ASHOK LEYLAND LTD.,1212 CONCRETE PUMP,1,2,2,362,15972,1
ASHOK LEYLAND LTD.,1112 SUCTION MACHINE,88,2,2,362,15993,1
ATLAS COPCO,ROC L-8,1,1,1,297,16059,1
EICHER MOTORS,EICHER 10.75 CBC   REFULER,1,2,2,304,10193,0
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS HYDRA 12 CRANE,2000,2,2,312,4712,1
EICHER MOTORS,10.95 GENERATOR VAN,3498,3,3,304,13954,9500
ACTION CONSTRUCTION EQUIPMENT,ADD 90 TANDEM COMPACTOR,1,2,2,294,16077,1
ASHOK LEYLAND LTD.,1412 WITH RIG,1,2,2,362,16099,1
ATLAS COPCO,CM 341.,1,1,1,297,16169,1
ASHOK LEYLAND LTD.,1616 SWEEPING MACHINE,1,2,2,362,16201,1
APOLLO CONSTRUCTON EQUIPMENTS PVT LTD,RM-6 PAVER,1,1,1,432,16263,1
ASHOK LEYLAND LTD.,1616 GARBAGE COMPACTOR,5295,2,2,362,16307,16200
ATLAS COPCO,LM 100,1,1,1,297,16441,1
APOLLO CONSTRUCTON EQUIPMENTS PVT LTD,AP 600,1,2,2,432,16494,1
ABG CRANES PVT LTD,1080 CRANES,1,1,1,,16502,1
ASHOK LEYLAND LTD.,1212 CRANES,1,1,1,362,16503,1
APOLLO CONSTRUCTON EQUIPMENTS PVT LTD,KP 1200 SF,1,1,1,432,16593,1
ASHOK LEYLAND LTD.,AL 1616 WITH COMPRESSOR,1,3,3,362,16618,16200
AJAX FLORI ENGINEERING,ARGO 4000,2000,3,3,401,16641,1
ASHOK LEYLAND LTD.,ECOMET 1212 WITH DRILLING RIG,1,2,2,362,16681,1
ACTION CONSTRUCTION EQUIPMENT,TMC 103,1,2,2,294,16881,1
ASHOK LEYLAND LTD.,AL TUSKER SUPER 1616 TRUCK WITH TRANSIT MIXER,2000,2,2,362,6248,1
ASHOK LEYLAND LTD.,AL ECOMET 1112 TRUCK WITH TRANSIT MIXER,2000,2,2,362,6256,1
ATLAS COPCO,ECM 580,2000,2,2,297,6258,1
ATLAS COPCO,ECM 660II,2000,2,2,297,6261,1
